Type of course,Higher Education/Professional Development,Course Title,Course link,Course Provider,Country,"Primary location (City, Online, Blended)",Language,Length of course,Qualification or accreditation,"Study mode (FT, PT, Flexible)","Department(s), Faculty",Core modules/units/course content,Additional modules/units,"Techniques, tools, programming languages",Placement,Total cost EU (starting 2016),Cost non-EU (starting 2016),Subsidised Learning,Target audience,"Listed, searchable?","search term, tag",Entry requirements?,Frequency of course,Start date/time,Year established,Industry partners
Masters,Higher Education,Big Data Science and Technology,http://www.bradford.ac.uk/study/courses/info/big-data-science-and-technology-msc-part-time,University of Bradford,United Kingdom,Bradford,English,"12 months (FT), 24 months (PT)",Master of Science,"FT, PT",Faculty of Engineering & Informatics,"Software Development, Big Data Systems and Analytics, Statistical Data Analysis Data Mining","Information Theory and Data Communication Security, Privacy and Data Protection, Mobile Applications, Concurrent and Distributed Systems Data Visualisation",Data not available,Data not available,Data not available,"GBP 15,600.00",Data not available,This course is aimed at graduates but those with suitable work experience will also be considered.,Google,data science,"2:2 or above in computer science, computer engineering, informatics or other computer- related subjects. If you have lesser academic qualifications but have substantial (approx. 5 yearsï¿½) relevant work experience, your application may also be considered.",Annual,September,Data not available,No evidence of industry partners
Short Course,Professional Development,Data Science Processes: An exploration in data mining,https://www.conted.ox.ac.uk/courses/details.php?id=163,Oxford University,United Kingdom,Oxford,English,2 days,Data not available,FT,Department for Continuing Education,"Data and its different forms Overview of different graph, and trend, shapes and patterns Investigation of data graphically using Excel. Exploration of data sets using Excel. Investigate data yourself using the techniques described in the previous session. Introduction to Data Mining Data Mining Case Studies. Introduction to the use of SPSS and a Data Mining package, for investigation of data.",Data not available,"Excel, SPSS, WEKA",Data not available,GBP 172.00,GBP 172.00,Some reductions available.,"Beginner. This course can be useful for anyone who wants to make use of data, whether a medical researcher, scientist, journalist or social science researcher. Previous experience of data handling would be useful in order to do this weekend course but no previous knowledge of data mining is assumed.",Data not available,Data not available,No formal entry qualifications.,Data not available,June,Data not available,No evidence of industry partners
Short Course,Professional Development,Introduction to Data Science,https://www.conted.ox.ac.uk/courses/details.php?id=G400-157,Oxford University,United Kingdom,Oxford,English,2 days,Data not available,FT,Department for Continuing Education,"Introduction to data and its different types Overview of different graph, and trend, shapes and patterns Investigation of data graphically using Excel Exploration of data sets using Excel Use of simple statistical, and mathematical, techniques to provide summary information about data. Investigating data using SPSS and the techniques described in the previous session Introduction to more advanced statistical, and mathematical, techniques making use of SPSS.",Data not available,"Excel, SPSS",Data not available,GBP 172.00,GBP 172.00,Some reductions available.,Beginner. For those who want to learn to analyse the data they have collected so that and summarize its content in a few sentences.,Data not available,Data not available,No formal entry qualifications.,Data not available,June,Data not available,No evidence of industry partners
Short Course,Professional Development,Introduction To Business Intelligence,http://www.rgu.ac.uk/computing/study-options/short-courses/introduction-to-business-intelligence,Robert Gordon University,United Kingdom,Aberdeen,English,3 days,Data not available,FT,School of Computing Science and Digital Media,Session 1: Data Warehousing: architecture and concepts Session 2: Data Warehousing design and dimensional modelling Session 3: Data Warehousing operations Session 4: Data Warehousing analytics: OLAP and multi-dimensional analysis Session 5: Data Mining: architecture and concepts Session 6: Data Mining: data extraction and pre-processing Session 7: Data Mining supervised models: decision trees and probabilistic models Session 8: Data Mining unsupervised models: association rule mining and data clustering,Data not available,Data not available,Data not available,GBP 895,GBP 895,Data not available,Intermediate. Designed for professionals who wish to maximise their use of business intelligence in order to gain competitive advantage.,Data not available,Data not available,Data not available,shortcourses@comp.rgu.ac.uk,shortcourses@comp.rgu.ac.uk,Data not available,No evidence of industry partners
Short Course,Professional Development,What is Data Science? [Understanding the DNA of Data Science],http://www.persontyle.com/wp-content/themes/yalin/pdf/What%20is%20Data%20Science(B100)_Persontyle_April2014_2.pdf,Persontyle,United Kingdom,London,English,1 day,Data not available,FT,Instructor Led,"An Introduction to Data Science What Do We Mean By Data Science History of Data Science What Makes Data Science Different? Role of the Data Scientist - Debunking Myths Understanding What Makes a Data Scientist What Does It Take To Create A Data Science Capability? The Data Scientistï¿½s Toolbox ï¿½ Languages, Platforms, Tools and Industry Solutions Component Parts of Data Science and Engineering a Data Science Solution Data Science Life Cycle ï¿½ A Strategy to Approach Any Data Analytics Problems Basic Data Science Methods and Machine Learning Fundamentals Overview of Data Engineering ï¿½ Capturing, Storing and Processing Data",Also available as in-house or online training,Data not available,Data not available,GBP 350,GBP 350,Early bird discounts and scholarships available,Entry level course for data science but technical background is required.,Data not available,Data not available,"Undergraduate degree in maths, the sciences, computer science or a business major with a quantitative element. Participants need to bring their own laptops.",Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Data Science for Business [Data Science as Value Amplifier for CXOs],http://www.persontyle.com/data-science-for-business-course-details/,Persontyle,United Kingdom,London,English,1 day,Data not available,FT,Instructor Led,"An Introduction to Data Science, What Do We Mean By Data Science, What Makes Data Science Different?, Data Science as Strategy and a Management Discipline, Reasoning, Decision Making and Relevance to Data Science, What Does It Take To Create A Data Science Capability?, Component Parts of Data Science and Engineering a Data Science Solution, Data Science Life Cycle ï¿½ A Strategy to Approach Any Data Analytics Problems, Overview of Data Engineering and Big Data Technologies, Guest Speakers to Discuss Data Science Use Cases, Case Studies and Data Driven Transformations",Also available as in-house or online training,Data not available,Data not available,GBP 600,GBP 600,Early bird discounts and scholarships available,"Beginners. Anyone interested in economic, social and business potential of Data Science. CXOs, executives, managers, decision makers, business and technology professionals interested in understanding how to apply Data Science for value, for impact and achieving strategic, economic and social objectives.",Data not available,Data not available,"Basic knowledge of statistics, analytics, and data management will help you connect more with the topics and learning outcomes. Participants need to bring their own laptops.",Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Getting Started With R and Data Analysis [Learn R for Effective Data Analysis],http://www.persontyle.com/wp-content/themes/yalin/pdf/Getting%20Started%20with%20R%20and%20Data%20Analysis_Persontyle_April2014_2.pdf,Persontyle,United Kingdom,London,English,1 day,Data not available,FT,Instructor Led,"Overview and introduction to R, Getting started and working with data, Reading and writing data with R, Programming efficiently in R, Visualizing data and Exploratory Data Analysis",Also available as in-house or online training,Data not available,Data not available,GBP 350,GBP 350,Early bird discounts and scholarships available,"Beginners. Business professionals, data analysts, technologists, journalists, software developers, academics and students who already have some basic competence in using statistics but wish to begin using R for the first time.",Data not available,Data not available,Basic knowledge of statistics and programming languages. Participants need to bring their own laptops.,Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Introduction to Machine Learning [Algorithms that learn from Data and Examples],http://www.persontyle.com/wp-content/themes/yalin/pdf/Introduction%20to%20Machine%20Learning_Persontyle_April2014_2.pdf,Persontyle,United Kingdom,London,English,1 day,Data not available,FT,Instructor Led,"Problem solving in nature and the role of evolution Machine Learning and Structure and function of the human brain Machine Learning and artificial intelligence Machine Learning algorithms (kNN, perceptron, decision tree, ...) Introduction to advanced methods (random forest, SVM, Bayes nets, ..) Current hot topics, state of the art applications, and pointers for further learning",Also available as in-house or online training,10% of the course is hands on lab-based.,Data not available,GBP 350,GBP 350,Early bird discounts and scholarships available,Beginners. No prior knowledge of machine learning is expected.,Data not available,Data not available,Participants need to bring their own laptops.,Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Introducing Python For Data Science [Python for Beginners],http://www.persontyle.com/courses/#21,Persontyle,United Kingdom,London,English,1 day,Data not available,FT,Instructor Led,Data not available,Also available as in-house or online training,50% of the course is hands on lab-based.,Data not available,GBP 350,GBP 350,Early bird discounts and scholarships available,"Beginners. For developers, programmers, data analyst, teachers, students and any one interested in using Python for scientific data analysis.",Data not available,Data not available,Knowledge of some programming language and familiarity with linear algebra and statistics. (optional but preferred) Participants need to bring their own laptops.,Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Statistics 101,http://www.persontyle.com/courses/#21,Persontyle,United Kingdom,London,English,2 day,Data not available,FT,Instructor Led,Data not available,Also available as in-house or online training,50% of the course is hands on lab-based.,Data not available,GBP 700,GBP 700,Early bird discounts and scholarships available,Beginners. A refresher for those who have studied statistics before and great introduction to statistics for new learners.,Data not available,Data not available,An undergraduate degree in the physical or social sciences or a business major where some statistical analysis was required to draw conclusions from data sets. Participants need to bring their own laptops.,Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Machine Learning Basics with R [Classification and Regression Methods],http://www.persontyle.com/wp-content/themes/yalin/pdf/Machine%20Learning%20Basics%20with%20R_Persontyle_July2014.pdf,Persontyle,United Kingdom,London,English,1 day,Data not available,FT,Instructor Led,"What Machine Learning entails and why it is important The different types of Learning, especially Supervised Learning How Classification and Regression fit in Machine Learning Understand types of classifiers Applied details of following algorithms: Decision Tree and basic overview of Random Forests k Nearest Neighbour (kNN) and a few of its variants Bayes Classifier How to use these algorithms in a variety of benchmark datasets How to fine-tune these algorithms for better performance Validation metrics for a classifier's performance (ROC curve, Accuracy Rate, F1-metric) The various libraries in R for these types of classifiers Which algorithm to choose based on the data you have Data transformation",Also available as in-house or online training,50% of the course is hands on lab-based.,Data not available,GBP 700,GBP 700,Early bird discounts and scholarships available,"Intermediate. Anyone interested in learning and applying supervised machine learning methods and R to solve real-world data problems. Ideal for people interested in pursuing career in data science.This hands-on workshop is aimed at business and technology professionals, Developer, Architect, Manager, Data Analyst, BI Developer/Architect, QA, Performance Engineers, Sales, Pre Sales and Marketing, Project Manager, Public Services, Teaching Staff and all those who already have some basic competence in statistics but wish to begin using R for machine learning for the first time.",Data not available,Data not available,Knowledge of R programming language and familiarity with linear algebra. Basic familiarity with statistics and probability theory is recommended.,Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Get Started in Machine Learning,http://www.persontyle.com/wp-content/themes/yalin/pdf/Get%20Started%20in%20Machine%20Learning_Persontyle_July2014.pdf,Persontyle,United Kingdom,London,English,4 days,Data not available,FT,Instructor Led,"Doing Machine Learning - Review fundamentals of practical Machine Learning Basics of Python programming language and environment. Scientific Python building blocks and workflow Overview of Scikit-learn: Machine Learning in Python Our first Machine Learning Application - K Nearest Neighbours Generally Applied Algorithms and Applications Dimensionality Reduction - Reducing the number of random variables to consider Clustering - Automatic grouping of similar objects into sets. Basics of Crab - Recommender systems in Python Understand how the structure and function of the human brain is different from a computer and how this affects learning in each. Define Machine Learning, why it matters, and discuss its relationship to data mining, data science, and statistics. Understand the steps in the machine learning pipeline, from data acquisition and feature generation, to training and model selection. Overview of core Machine Learning terminology i.e. features, instance, model selection, bias, variance, generalization, precision, etc. Review of the fundamentals of linear algebra, calculus, statistics, and probability theory. BigML - Putting the power of Machine Learning in your hands",Also available as in-house or online training,50% of the course is hands on lab-based. Python Scikit Learn,Data not available,"GBP 1,500","GBP 1,500",Early bird discounts and scholarships available,"Intermediate. This course is well-suited to machine learning beginners or those with some experience. Business professionals, data analysts, technologists, journalists, software developers, academics",Data not available,Data not available,"Basic understanding of calculus, statistics, probability theory, linear algebra. This will be refreshed but not in detail. Basic knowledge of python is required. All lab sessions will be done using IPython notebooks and Scikit-learn.",Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Introduction to Data Science Using R,http://www.persontyle.com/wp-content/themes/yalin/pdf/Introduction%20to%20Data%20Science%20using%20R_Persontyle_April2014_2.pdf,Persontyle,United Kingdom,London,English,3 days,Data not available,FT,Instructor Led,"An Introduction to Data Science Component, Parts of Data Science - Engineering a Data Science solution, Data Science Life Cycle ï¿½ A strategy to approach any data analytics problems. Overview and Introduction to R, Getting started and working with data, Reading and writing data with R, Programming efficiently in R, Descriptive Statistics and Introduction to Probability Distributions, Visualizing data and Exploratory Data Analysis, Real World Data Challenge ï¿½ Part 1, Statistics and Modelling in R, Fit a model to data in R, Explore data sets with models, Basic statistical tests, power, and sample size functions, Correlation and Regression, Pearson, Spearman, Kendall correlations. Linear Regression ï¿½ residuals, fitted values, predictions and confidence intervals. Multiple Regression, Analysis of Variance, Linear Models, Logistic Regression, Real World Data Challenge ï¿½ Part 2",Also available as in-house or online training,40% of the course is hands on lab-based.,Data not available,"GBP 1,000","GBP 1,000",Early bird discounts and scholarships available,"Intermediate. This course is well-suited to machine learning beginners or those with some experience. Business professionals, data analysts, technologists, journalists, software developers, academics",Data not available,Data not available,"Basic understanding of calculus, statistics, probability theory, linear algebra. This will be refreshed but not in detail. Basic knowledge of python is required. All lab sessions will be done using IPython notebooks and Scikit-learn.",Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Basics of Python for Data Science,http://www.persontyle.com/courses/#21,Persontyle,United Kingdom,London,English,3 days,Data not available,FT,Instructor Led,Data not available,Also available as in-house or online training,50% of the course is hands on lab-based.,Data not available,"GBP 1,000","GBP 1,000",Early bird discounts and scholarships available,Intermediate. Anyone interested in learning Python for Data Science.,Data not available,Data not available,"Knowledge of some programming language (does not have to be Python) and familiarity with linear algebra (optional but preferred). This is not a computer science class, understanding of basic programming concepts (like looping, recursion, pointers, etc.) are presupposed.",Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Data Science Foundation Bootcamp,http://www.persontyle.com/data-science-foundation-course-details/,Persontyle,United Kingdom,London,English,2 weeks,Data not available,FT,Instructor Led,Elementary Statistics And Probability Introduction To R Applied Statistics And Machine Learning For Data Science (I) Data Science Life-Cycle Data At Scale,Also available as in-house or online training,40% of the course is hands on lab-based.,Data not available,"GBP 2,500","GBP 2,500",Early bird discounts and scholarships available,"Intermediate. Anyone interested in learning Data Science. Especially if you want to learn Data Science to strengthen your existing career prospects, or planning to embark on a new career.",Data not available,Data not available,"Basic knowledge of statistics, any programming/scripting language, and databases.",Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Introduction to Data Visualization [Storytelling with Data],http://www.persontyle.com/courses/#21,Persontyle,United Kingdom,London,English,2 days,Data not available,FT,Instructor Led,Data not available,Also available as in-house or online training,40% of the course is hands on lab-based. D3.,Data not available,Not specified,Not specified,Early bird discounts and scholarships available,"Intermediate. This course is for technology & business professionals, analysts, journalists, or anyone interested in understanding what data visualization is and how to create their own data visualizations using D3.",Data not available,Data not available,"Some familiarity with HTML, CSS and JavaScript.",Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Fundamentals of Machine Learning,http://www.persontyle.com/courses/#21,Persontyle,United Kingdom,London,English,5 days,Data not available,FT,Instructor Led,"Topics covered will include machine learning theory, paradigms (supervised, unsupervised, reinforcement, active and online), and techniques (models and methods). Labs are developed to practically learn how to use the R programming language and packages for applying the main concepts and techniques of machine learning.",Also available as in-house or online training,40% of the course is hands on lab-based.,Data not available,"GBP 1,500","GBP 1,500",Early bird discounts and scholarships available,Intermediate. This course is intended for those who have applied machine learning in their current job roles and would like to take this a little further with academic rigor as well as some hands on practice using R.,Data not available,Data not available,Basic knowledge of calculus and linear algebra to understand equations involving vectors and matrices. Knowledge of probability theory to understand what a probability density is. Programming proficiency in R.,Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Cluster Analysis with R,http://www.persontyle.com/wp-content/themes/yalin/pdf/Cluster%20Analysis%20With%20R1.2.pdf,Persontyle,United Kingdom,London,English,3 days,Data not available,FT,Instructor Led,"Data preparation and various clustering algorithms and visualization methods with the help of R and R clustering packages. Examples will include real world applications in drug discovery, bioinformatics, social media, management science, finance, ecology, and others. Specific applications will include drug compound library design and diversity, gene expression, community detection, customer segmentation, species ordination, QSAR (Quantitative Structure Activity Relationship), among others.",Also available as in-house or online training,50% of the course is hands on lab-based. R,Data not available,"GBP 1,000","GBP 1,000",Early bird discounts and scholarships available,"Intermediate. This course is intended for those who are currently working as data analysts, programmers, market researchers with limited exposure to clustering techniques and algorithms as well as those looking to move into the field.",Data not available,Data not available,"Students should have at least passing familiarity with the following topics: probability theory, statistics, matrix algebra, and programming in R.",Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Advanced Machine Learning,http://www.persontyle.com/courses/#21,Persontyle,United Kingdom,London,English,3 days,Data not available,FT,Instructor Led,This course systematically tackles a wide range of statistical machine learning methods. It clearly builds upon the relationship that advanced methods have with simpler concepts like linear regression and kernel density estimation to make us understand the working of powerful techniques like support vector machines and neural networks.,Also available as in-house or online training,40% of the course is hands on lab-based. R,Data not available,"GBP 1,000","GBP 1,000",Early bird discounts and scholarships available,"Intermediate. This course is for data scientists, data analysts, or anyone interested in understanding the advanced machine learning methods, how they fit together and how they can be applied using R",Data not available,Data not available,Programming proficiency in R. Basic knowledge of calculus and linear algebra to understand simple equations involving vectors and matrices. Enough knowledge of probability theory to understand what probability density is.,Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Directed Graphical Models,http://www.persontyle.com/courses/#21,Persontyle,United Kingdom,London,English,3 days,Data not available,FT,Instructor Led,"In this course, we look at what graphical models are, how they can perform the tasks like root cause analysis/causal diagnostics, decision support and automation, and how they can be constructed either from expert knowledge or data. Focus will be on applying these techniques to case studies selected to highlight the different applications of graphical models.",Also available as in-house or online training,40% of the course is hands on lab-based. D3.,Data not available,"GBP 1,000","GBP 1,000",Early bird discounts and scholarships available,"Intermediate. This course is for data scientists, technology professionals, systems engineers, data analysts, or anyone interested in understanding the use and value of DGMs within their field.",Data not available,Data not available,Programming proficiency in R. Basic knowledge of calculus and linear algebra to understand simple equations involving vectors and matrices. Enough knowledge of probability theory to understand what probability density is.,Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Hadoop as an Enterprise Data Platform,http://www.persontyle.com/courses/#21,"Persontyle, MapR",United Kingdom,London,English,1 day,Data not available,FT,Instructor Led,This course will take you through an overview of the Hadoop ecosystem focusing on the business case for using Hadoop as an enterprise data platform.,Also available as in-house or online training,20% of the course is hands on lab-based. Hadoop.,Data not available,GBP 350.00,"GBP 1,500",Early bird discounts and scholarships available,"Advanced. This course is for technology professionals, business professionals, architects, or anyone interested in understanding the Hadoop and learning how Apache Hadoop addresses the limitations of traditional architectures and powers massive scale data analytics.",Data not available,Data not available,No prior Hadoop experience is required.,Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Hadoop for Solution Architects,http://www.persontyle.com/courses/#21,"Persontyle, MapR",United Kingdom,London,English,2 days,Data not available,FT,Instructor Led,"Gain a clear perspective on architectures, techniques, tools, and frameworks you need to use data successfully. In this course participantï¿½s work together to understand a given problem, define scope, create an architecture to address the problem, and brainstorm solutions.",Also available as in-house or online training,40% of the course is hands on lab-based. Hadoop.,Data not available,GBP 700.00,"GBP 1,000",Early bird discounts and scholarships available,"Advanced. Solution Architects, Technology Professionals and IT Consultants.",Data not available,Data not available,"Good understanding of system architecture, Hadoop and big data technologies.",Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Hadoop for Data Scientists,http://www.persontyle.com/courses/#21,"Persontyle, MapR",United Kingdom,London,English,2 days,Data not available,FT,Instructor Led,"This course will teach you how to query Hadoop data with filters, joins, user-defined functions, and more. Learn the fundamentals of data transformation, ingestion, and processing with Hadoop tools. Learning outcomes will cover joining multiple data sets, analyzing disparate data with Pig, organizing data into tables, performing transformations, and simplifying complex queries.",Also available as in-house or online training,40% of the course is hands on lab-based. Hadoop.,Data not available,GBP 700.00,"GBP 1,000",Early bird discounts and scholarships available,Intermediate. This course is designed for Data Scientists and Analysts with a basic understanding of Hadoop and MapReduce who need to extract and process data stored on Hadoop.,Data not available,Data not available,Practical experience of SQL and basic UNIX or Linux commands. Basic understanding of Hadoop and MapReduce programming.,Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Apache Mahout for Machine Learning,http://www.persontyle.com/courses/#21,"Persontyle, MapR",United Kingdom,London,English,2 days,Data not available,FT,Instructor Led,"This course will introduce you to the fundamentals of the machine learning methods supported by Mahout i.e. collaborative filtering, clustering and classification and overview of recommendation platform. Hands-on insight on how to write different machine learning algorithms to be used in the Hadoop environment and choose the best one suiting the task in hand.",Also available as in-house or online training,"40% of the course is hands on lab-based. Hadoop, Mahout",Data not available,GBP 700.00,"GBP 1,000",Early bird discounts and scholarships available,"Intermediate. Data Scientists, Programmers and Software Engineers who wish to learn more about machine learning and Apache Mahout.",Data not available,Data not available,"Practical experience of Hadoop and MapReduce programming. Basic knowledge of calculus, linear algebra and statistics.",Check for next scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Customized Corporate Data Science Training,http://www.persontyle.com/courses/#21,Persontyle,United Kingdom,London,English,Data not available,Data not available,FT,Instructor Led,"Courses can be tailored for your business and learning needs. We will work with you to design the curriculum and labs that best address your analytical goals and business requirements. This approach ensures that Data Science training is focused on your issues, business challenges, strategies, and opportunities.",Data not available,Data not available,Data not available,Ask provider for quote,Ask provider for quote,Data not available,"Corporate Data Science training is for people to take the next step to learn more about statistics, model development, Data Science lifecycle, machine learning, data management, data visualization and other decision making skills and concepts.",Data not available,Data not available,Data not available,Contact provider for timing and prices,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Introduction to data visualisation using R,http://www.rss.org.uk/RSS/pro_dev/cpd/Our_courses/RSS/pro_dev/RSS_training_courses_sub/Our_courses.aspx?hkey=ebeb867f-42a0-4e9a-8755-e286d9b3612b,Royal Statistical Society,United Kingdom,"London, Manchester and Edinburgh",English,2 days,Data not available,FT,Instructor Led,Data visualisations the good the bad and the ugly Using R for basic plots Advanced graphics using ggplot Plotting categorical and continuous data Identifying relationships Multivariate data Interactive documents and plots with shiny Google charts in R,Data not available,R,Data not available,"Non members: GBP 400+vat, RSS Fellow : GBP 340+vat, RSS Cstat : GBP 320+vat","Non members: GBP 400+vat, RSS Fellow : GBP 340+vat, RSS Cstat : GBP 320+vat",Early bird discounts available,"The course targets everyone that deals with data. Examples will cover topics coming from political economic and social sciences, medicine, biology and computer science.",Data not available,Data not available,Basic knowledge of R programming language,Check with RSS for latest scheduled courses,Scheduled for September in Manchester.,Data not available,No evidence of industry partners
Short Course,Professional Development,Introduction to Data Science,https://skillsology.com/course/details/Introduction-to-Data-Science/2bVhgrMzWj,Skillsology,United Kingdom,Online,English,Approximately 4 hours. 1 year access,Data not available,Flexible,Self paced,"Section 1: Introduction Section 2: Software Tools: Software Tools Overview And Setup, Basics of Excel, Basics of R, Section Summary Section 3: Understanding Data: Initial Appraisal of a Data Set, Handling Big Data, Characterising a Data Set, Probability, Section Summary Section 4: Inferences from Data: Visualisation, Making Predictions, Decision Making, Section & Course Summary",Offer needs assessment tailored to individual businneses.,"R, Excel",Data not available,GBP 49.00,GBP 49.00,Data not available,"Beginners, this is an introductory course. Skillsology courses are aimed at professionals.",Data not available,Data not available,"No technical, software or analytical knowledge is assumed beyond a grounding in basic maths.",Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Understanding Data Science and Big Data,https://www.qa.com/hot-topics/database-big-data-and-business-intelligence/generic-database-and-big-data-skills/understanding-data-science-and-big-data,QA Ltd,United Kingdom,Various,English,4 days,"Offer certification through recognised industry providers: ITIL Certification, PRINCE2 Certifications, COBIT 5 Foundation Certification, The APM Group Limited (APMG) Certifications",FT,Instructor Led Classroom Course,"Module 1: Introduction Module 2: Big Data Module 3: Finding the patterns in data Module 4: Data models - relational and NoSQL Module 5: Hadoop, HDFS and MapReduce Module 6: Data visualisation Module 7: Introduction to R Module 8: Data mining",Data not available,"Hadoop, MapReduce, NoSQL, R, HDFS",Data not available,"GBP 2,654.00","GBP 2,654.00",Data not available,Advanced. People aspiring to be data scientists and/or to work with Big Data. Others who may take this course include Business Intelligence (BI) professionals who want to work with big data and/or are looking to move into Data Science.,Data not available,Data not available,"People coming into the course are expected to have at least 3 years experience working in the IT field-typically in the areas of databases, BI, analytics or related areas: Knowledge of at least one relational database engine (Oracle, SQL Server, DB2 etc.) An understanding of relational database modelling and design Basic understanding of data and how business systems use both data and information; this would be gained by at least a year's experience in IT or business systems development.",Courses held regularly,Check with provider for up to date schedule,Data not available,No evidence of industry partners
Workshop,Professional Development,The big hype about Big Data,https://www.qa.com/training-courses/seminars/the-big-hype-about-big-data,QA Ltd,United Kingdom,Various,English,2 hours,Data not available,FT,Instructor Led Classroom Course,Registration Big Data Fundamentals Beyond the hype - what is Big Data in my organization? Coffee Break Case Studies & Use Cases Q & A with BDP,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,"Beginners. Management level looking to gain a further insight and understanding of Big Data. You could be seeking to learn what big data means, currently considering or implementing a big data strategy, or looking to understand a typical business case to support a big data solution.",Data not available,Data not available,No prior knowledge is required.,Courses held regularly,Check with provider for up to date schedule,Data not available,No evidence of industry partners
Short Course,Professional Development,Introductory Course to Data Science: Intern Level - Learn and Live,http://www.lark-analytics-workshops.co.uk/#!intern/c192n,LARK,United Kingdom,"London, Leeds, Glasgow",English,1 day,Data not available,FT,Instructor Led,"What is data science/analysis who uses it and what for? What is the most popular soFware, what does it do, why use it? What are the most common areas of use? BI, MI etc. are they just the same? What is the best way to get a job? How should I prepare for an interview? What companies do I need to research?",Data not available,Data not available,Data not available,GBP 179.00,GBP 179.00,Data not available,"Designed for individuals taking their first steps into on the road to success, full of expert insight, tips and tricks to put you strides ahead of the competition",Data not available,Data not available,No prerequisites specified,Data not available,Contact provider to organise a course,Data not available,No evidence of industry partners
Short Course,Professional Development,Introductory Course to Data Science: Executive Level - Know Everything,http://media.wix.com/ugd/22ae06_fb9a922ab54042df8d3ecbf04304c7ba.pdf,LARK,United Kingdom,"London, Leeds, Glasgow",English,1 day,Data not available,FT,Instructor Led,Easy techniques to get quick results. Segmentation and clustering methods. Most impressive techniques to show off your talent and expertise. Best ways to cut costs and time spent on the job. Explanations in easy language to sound knowledgeable. Easy explanations of different software used in analysis. Best business areas in which to get results. The best tasks to delegate and what not to. Know what to analyse and what not to. How to deal with and avoid difficult questions.,Data not available,Data not available,Data not available,GBP 279.00,GBP 279.00,Data not available,"Designed for professional: to help you find out the most from whatever you want, segments, cluster, you name it, in the shortest amount of Jme and more importantly, how to showcase your talent and experJse.",Data not available,Data not available,No prerequisites specified,Data not available,Contact provider to organise a course,Data not available,No evidence of industry partners
Short Course,Professional Development,Introductory Course to Data Science: Director Level - Learn and Empower,http://media.wix.com/ugd/22ae06_43a076bbd13642c799b749510e26fa22.pdf,LARK,United Kingdom,"London, Leeds, Glasgow",English,1 day,Data not available,FT,Instructor Led,"Understanding the principles of infographics data, story and design, Overview of how data can be visually displayed Examples of successful infographics, Using software to create your infographicsï¿½ PowerPoint, Excel etc. How best to communicate your data, Gathering and organising your data, When and how to use flat graphics and interactives, Maximising the impact of your data, Receiving an example brief and data set, Working with your data sets to draw out a narrative Creation of your visualisation",Data not available,Data not available,Data not available,GBP 349.00,GBP 349.00,Data not available,"Designed for professionals: to show you how to use infographics to present complex information simply, elegantly and beautifully. This course gives you everything you need to create memorable static and interactive infographics.",Data not available,Data not available,No prerequisites specified,Data not available,Contact provider to organise a course,Data not available,No evidence of industry partners
Short Course,Professional Development,Introductory Course to Data Science: Analyst Level - Learn and Solve,http://media.wix.com/ugd/22ae06_ddb2e1cf5228416e897f1405c10d4efa.pdf,LARK,United Kingdom,"London, Leeds, Glasgow",English,1 day,Data not available,FT,Instructor Led,"Descriptive statistics, Sampling methods / Data Cleansing, How to investigate interactions between variables, Principal Component Analysis and will it help?, Software applications and their interpretation , Understand and use segmentation and classification methods, Be able to apply statistical methods to real analytical problems, Review of quantitative methods / Overview of qualitative methods, Understanding statistical output Communicating effectively with the client",Data not available,Data not available,Data not available,GBP 395.00,GBP 395.00,Data not available,Designed for professionals: to introduce a comprehensive treatment of statistical methods.,Data not available,Data not available,No prerequisites specified,Data not available,Contact provider to organise a course,Data not available,No evidence of industry partners
